5分钟窗口起始时间,合并金额(元)
2026-03-01 00:00:00,0.002462
2026-03-01 01:00:00,0.000601
2026-03-01 02:00:00,0.000266
2026-03-01 03:00:00,0.000318
2026-03-01 04:00:00,0.000574
2026-03-01 05:00:00,0.000542
2026-03-01 06:00:00,0.000734
2026-03-01 07:00:00,0.000442
2026-03-01 08:00:00,0.000441
2026-03-01 09:00:00,0.000504
2026-03-01 10:00:00,0.000843
2026-03-01 11:00:00,0.000502
2026-03-01 12:00:00,0.000593
2026-03-01 13:00:00,0.000691
2026-03-01 14:00:00,0.000618
2026-03-01 15:00:00,0.000835
2026-03-01 16:00:00,0.000609
2026-03-01 17:00:00,0.000700
2026-03-01 18:00:00,0.000649
2026-03-01 19:00:00,0.001309
2026-03-01 20:00:00,0.000634
2026-03-01 21:00:00,0.014425
2026-03-01 22:00:00,0.016962
2026-03-01 23:00:00,0.007879
2026-03-02 00:00:00,0.000815
2026-03-02 01:00:00,0.000694
2026-03-02 02:00:00,0.000673
2026-03-02 03:00:00,0.000680
2026-03-02 04:00:00,0.000933
2026-03-02 05:00:00,0.000686
2026-03-02 06:00:00,0.000682
2026-03-02 07:00:00,0.000864
2026-03-02 08:00:00,0.000698
2026-03-02 09:00:00,0.000907
2026-03-02 10:00:00,0.001769
2026-03-02 11:00:00,0.002787
2026-03-02 12:00:00,0.002930
2026-03-02 13:00:00,0.003312
2026-03-02 14:00:00,0.002532
2026-03-02 15:00:00,0.000783
2026-03-02 16:00:00,0.000675
2026-03-02 17:00:00,0.000762
2026-03-02 18:00:00,0.000634
2026-03-02 19:00:00,0.000614
2026-03-02 20:00:00,0.000726
2026-03-02 21:00:00,0.000685
2026-03-02 22:00:00,0.000778
2026-03-02 23:00:00,0.000884
2026-03-03 00:00:00,0.000857
2026-03-03 01:00:00,0.000873
2026-03-03 02:00:00,0.001640
2026-03-03 03:00:00,0.002470
2026-03-03 04:00:00,0.002278
2026-03-03 05:00:00,0.001768
2026-03-03 06:00:00,0.001018
2026-03-03 07:00:00,0.003457
2026-03-03 08:00:00,0.003462
2026-03-03 09:00:00,0.003348
2026-03-03 10:00:00,0.003482
2026-03-03 11:00:00,0.001752
2026-03-03 12:00:00,0.001208
2026-03-03 13:00:00,0.001339
2026-03-03 14:00:00,0.001341
2026-03-03 15:00:00,0.001038
2026-03-03 16:00:00,0.002257
2026-03-03 17:00:00,0.001912
2026-03-03 18:00:00,0.002097
2026-03-03 19:00:00,0.000934
2026-03-03 20:00:00,0.000946
2026-03-03 21:00:00,0.002102
2026-03-03 22:00:00,0.002179
2026-03-03 23:00:00,0.001183
2026-03-04 00:00:00,0.001284
2026-03-04 01:00:00,0.001216
2026-03-04 02:00:00,0.001253
2026-03-04 03:00:00,0.001370
2026-03-04 04:00:00,0.001267
2026-03-04 05:00:00,0.001238
2026-03-04 06:00:00,0.001262
2026-03-04 07:00:00,0.001283
2026-03-04 08:00:00,0.001294
2026-03-04 09:00:00,0.001294
2026-03-04 10:00:00,0.001402
2026-03-04 11:00:00,0.001299
2026-03-04 12:00:00,0.001306
2026-03-04 13:00:00,0.001546
